p_val	avg_logFC	pct.1	pct.2	p_val_adj
AK093552	4.28154083756776e-208	2.18999706662175	0.899	0.084	6.24034577075501e-204
HADV38S2	2.87562325600479e-201	2.13396831202183	0.899	0.109	4.19122089562698e-197
AV4S1	2.41704770584006e-183	1.8552157465795	0.916	0.233	3.52284703126189e-179
TRDC.NT-026437.11.3	1.6061804685257e-174	1.85483861274102	0.789	0.054	2.34100803287621e-170
TRDC.NT-026437.11.2	6.93077290825442e-168	1.51501693884617	0.722	0.034	1.01016015137808e-163
A2M	1.27919139240498e-84	1.20334544309912	0.852	0.271	1.86442145443025e-80
ZBTB16	3.83653952353708e-77	1.0858624495842	0.481	0.044	5.5917563555553e-73
PLCB1	5.28414286824419e-76	1.09211958772864	0.878	0.31	7.7016382304659e-72
PZP	7.80088966139722e-64	1.05439147677498	0.65	0.151	1.13697966814865e-59
KLRB1	4.98984438931766e-54	0.99512587918687	0.705	0.22	7.27269819743049e-50
IL12RB2	3.58866050266585e-52	1.07064869909518	0.751	0.288	5.23047268263547e-48
CEBPD	7.24169395888045e-41	0.832157942488012	0.435	0.089	1.05547689450683e-36
KLRD1	1.2562286567823e-40	0.788383619872552	0.515	0.133	1.8309532672602e-36
RGS2	4.34031568597342e-36	0.81608742720911	0.819	0.507	6.32601011230626e-32
CYTH3	5.24751936870559e-36	0.877904030147226	0.612	0.225	7.6482594798884e-32
S100B	4.39621864439485e-27	0.7632266490686	0.219	0.028	6.4074886742055e-23
